question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,fuzzy_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: To solve this problem, we can use the knowledge point of addition.

On the first day, John has 5 apples.
On the second day, he buys 3 more, so he has 5 + 3 = 8 apples.
On the third day, he buys 3 more, so he has 8 + 3 = 11 apples.
On the fourth day, he buys 3 more, so he has 11 + 3 = 14 apples.

Therefore, after 4 days, John will have 14 apples.

The answer is 14.",Simple Equations,Easy,3
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: To find the cost of 4 pens, we need to multiply the cost of one pen by the number of pens. Since each pen costs $2, we can multiply $2 by 4 to find the total cost. 

$2 x 4 = $8

Therefore, 4 pens will cost $8. The answer is $8.",Basic Arithmetic,Easy,1
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: Let T represent Tom's age and J represent Jane's age. We are given that J = 12 and T = J - 5. We can substitute J = 12 into the equation T = J - 5 to find Tom's age.
T = 12 - 5
T = 7
The answer is Tom is 7 years old.",Age Problems (Basic),Easy,7
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: Distance = Speed x Time
Distance = 30 miles/hour x 2 hours
Distance = 60 miles
Therefore, the car travels 60 miles in 2 hours.",Distance-Rate-Time,Easy,6
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's assume that Mary has x apples. Since John has 5 more apples than Mary, he would have x + 5 apples.
According to the problem, the total number of apples they have together is 30. So, we can set up the equation: x + (x + 5) = 30.
Simplifying the equation, we get: 2x + 5 = 30.
Subtracting 5 from both sides, we have: 2x = 25.
Dividing both sides by 2, we find: x = 12.5.
Since we can't have half an apple, we",Equations with Two Variables,Medium,12
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: To find the amount of sugar in the solution, we need to calculate 30% of 5 liters.

Step 1: Convert the percentage to a decimal by dividing it by 100.
30% = 30/100 = 0.3

Step 2: Multiply the decimal by the total volume of the solution.
0.3 * 5 = 1.5

Therefore, there is 1.5 liters of sugar in the solution.

The answer is 1.5 liters.",Mixture Problems,Medium,8
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: To solve this problem, we can use the concept of rates of work. 

Let's assume that the wall is one unit of work. 

John can complete 1/4 of the work in one hour, while Mary can complete 1/6 of the work in one hour. 

To find out how long it will take them to complete the work together, we need to find the combined rate at which they work. 

The combined rate is the sum of their individual rates. So, the combined rate is 1/4 + 1/6 = 5/12 of the work per hour. 

To find the time it will take them to complete the work together",Work Problems,Medium,2
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's represent Peter's current age as x. According to the problem, in 5 years, Peter will be x + 5 years old. Three years ago, Peter was x - 3 years old. The problem states that in 5 years, Peter will be twice as old as he was 3 years ago, so we can write the equation: x + 5 = 2(x - 3). Now, we will solve for x.

x + 5 = 2x - 6
5 + 6 = 2x - x
11 = x

So, Peter's current age is 11 years old. The answer is 11.",Age Problems (Complex),Medium,4
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we can use the formula for compound interest: A = P(1 + r/n)^(nt), where A is the final amount, P is the principal amount, r is the interest rate, n is the number of times the interest is compounded per year, and t is the number of years.

Given:
Principal amount (P) = $1,000
Interest rate (r) = 5% = 0.05
Number of times compounded per year (n) = 1 (compounded annually)
Number of years (t) = 3

Substituting the given values into the formula, we have:",Investment Problems,Medium,2
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: Let the length of the garden be L meters and the width be W meters. We are given that the perimeter is 30 meters, so we can write the equation:

2L + 2W = 30

We are also given that the area is 50 square meters, so we can write the equation:

L * W = 50

Now, we can solve the first equation for one of the variables, say L:

L = (30 - 2W) / 2

Substitute this expression for L into the second equation:

((30 - 2W) / 2) * W = 50",Quadratic Equations,Hard,6
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: Let x be the number of Gadget A sold, and y be the number of Gadget B sold. We can set up a system of equations:
x + y = 50 (total number of gadgets sold)
5x + 10y = 350 (total revenue from selling the gadgets)
Simplifying the first equation, we get x = 50 - y. Substituting this into the second equation, we get:
5(50-y) + 10y = 350
250 - 5y + 10y = 350
5y = 100
y =",Systems of Equations,Hard,8
12,"The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?",24 boys and 40 girls,"Let boys = 3x and girls = 5x
Total students = 3x + 5x = 64
8x = 64
x = 8
Boys = 3 * 8 = 24, Girls = 5 * 8 = 40","Solve the following math problem: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
Answer: To solve this problem, we need to use ratios and proportions. Let's start by setting up a proportion. We know that the ratio of boys to girls is 3:5, so we can write:

3/8 = x/64

where x is the number of boys in the class. To solve for x, we can cross-multiply:

3 * 64 = 8 * x

192 = 8x

x = 24

So there are 24 boys in the class. To find the number of girls, we can subtract 24 from the total number of students:

64 - 24",Ratio and Proportion Problems,Hard,6
13,"Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?",2.67 hours,"Rate of Machine A = 1/4 job/hour, Rate of Machine B = 1/6 job/hour
Together for 2 hours: (1/4 + 1/6) * 2 = 5/12 job completed
Remaining job = 1 - 5/12 = 7/12
Time for Machine B to finish = (7/12) / (1/6) = 7/2 = 3.5 hours","Solve the following math problem: Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Answer: To solve this problem, we can first determine the work rate for each machine. Let's denote the work rate of Machine A as ""a"" and the work rate of Machine B as ""b"". 

We know that Machine A can complete the job in 4 hours, so its work rate is 1/4 of the job per hour (1 job / 4 hours = 1/4 job/hour). Similarly, Machine B can complete the job in 6 hours, so its work rate is 1/6 of the job per hour (1 job / 6 hours = 1/6 job/hour).

When working together for 2 hours, Machine A completes 2 * (1",Work Problems (Complex),Hard,2
14,"A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?",$200,"Selling price = Cost price * (1 + Profit %)
240 = Cost price * 1.2
Cost price = 240 / 1.2 = $200","Solve the following math problem: A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?
Answer: Let the cost price of the item be x.

According to the problem, the shopkeeper sells the item for $240, making a 20% profit. This means the selling price is 120% of the cost price.

So, we can write the equation:
1.2x = 240

Now, we need to solve for x:
x = 240 / 1.2
x = 200

The cost price of the item was $200.",Profit and Loss,Hard,2
15,Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?,4 friends,Number of friends = 12 apples / 3 apples per friend = 4 friends,"Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer: To find the number of friends Lisa gives apples to, we need to divide the total number of apples by the number of apples given to each friend. 

Total number of apples = 12
Number of apples given to each friend = 3

Number of friends = Total number of apples / Number of apples given to each friend
Number of friends = 12 / 3
Number of friends = 4

Therefore, Lisa gives apples to 4 friends.
The answer is 4.",Simple Equations,Easy,3
16,"If a pen costs $3, how much will 6 pens cost?",$18,6 pens * $3/pen = $18,"Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: To find out how much 6 pens cost, we need to multiply the cost of one pen by 6. Since one pen costs $3, we have:

$3 \times 6 = $18

Therefore, 6 pens will cost $18.",Basic Arithmetic,Easy,2
17,"Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?",15 years old,Sam = Tom's age + 7 = 8 + 7 = 15 years old,"Solve the following math problem: Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?
Answer: To find Sam's age, we need to add the age difference between Sam and Tom to Tom's age. The age difference is 7 years. Therefore, Sam is 8 + 7 = 15 years old.
The answer is 15.",Age Problems (Basic),Easy,8
18,A car travels at 45 miles per hour. How far will it travel in 3 hours?,135 miles,Distance = Speed * Time = 45 miles/hour * 3 hours = 135 miles,"Solve the following math problem: A car travels at 45 miles per hour. How far will it travel in 3 hours?
Answer: To solve this problem, we use the formula distance = speed x time. Plugging in the given values, we get distance = 45 x 3 = 135 miles. Therefore, the car will travel 135 miles in 3 hours.",Distance-Rate-Time,Easy,6
19,Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?,Sara has 30 books and Jane has 20 books,"Let Jane's books = x
Sara's books = x + 10
x + (x + 10) = 50
2x + 10 = 50
2x = 40
x = 20
Sara = 30, Jane = 20","Solve the following math problem: Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?
Answer: Let's represent the number of books Jane has as $x$. Since Sara has 10 more books than Jane, we can represent the number of books Sara has as $x + 10$. 

According to the problem, the total number of books they have together is 50. So we can set up the equation:

$x + (x + 10) = 50$

Simplifying the equation, we get:

$2x + 10 = 50$

Subtracting 10 from both sides, we have:

$2x = 40$

Dividing both sides by 2,",Equations with Two Variables,Medium,12
20,"A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?",4 liters of salt,Amount of salt = 40% of 10 liters = 0.4 * 10 = 4 liters,"Solve the following math problem: A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?
Answer: To solve this problem, we can start by finding the amount of salt in the mixture. We know that the mixture contains 40% salt, which means that 40% of the total volume of the mixture is salt.

To find the amount of salt, we can multiply the total volume of the mixture by the percentage of salt. In this case, the total volume of the mixture is 10 liters and the percentage of salt is 40%.

Amount of salt = 10 liters * 40% = 10 liters * 0.40 = 4 liters

Therefore, there are 4 liters of salt in the mixture.",Mixture Problems,Medium,5
21,"John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?",3.33 hours,"John's rate = 1/5 rooms/hour, Mary's rate = 1/10 rooms/hour
Total rate = 1/5 + 1/10 = 3/10 rooms/hour
Time = 1/(3/10) = 10/3 = 3.33 hours","Solve the following math problem: John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?
Answer: To solve this problem, we can use the concept of proportional relationships. Let's assume that the time it takes for John and Mary to paint the room together is x hours.

John's painting rate is 1 room per 5 hours, which can be expressed as 1/5 rooms per hour. Similarly, Mary's painting rate is 1 room per 10 hours, or 1/10 rooms per hour.

When they work together, their rates add up, so their combined painting rate is (1/5 + 1/10) rooms per hour.

To find the time it takes for them to paint the room together, we can set up the equation:",Work Problems,Medium,2
22,"In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?",6 years old,"Let Sarah's current age = x
In 4 years, Sarah's age = x + 4
2 years ago, Sarah's age = x - 2
x + 4 = 3(x - 2)
x + 4 = 3x - 6
x = 6","Solve the following math problem: In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?
Answer: Let x be Sarah's current age. In 4 years, her age will be x + 4. Two years ago, her age was x - 2. According to the problem, in 4 years, Sarah will be three times as old as she was 2 years ago, so we can write the equation:
x + 4 = 3(x - 2)

Now, we solve the equation for x:
x + 4 = 3x - 6
7 = 2x
x = 3.5

Since age must be a whole number, we can conclude that Sarah is currently 3.5 years old, which is not possible. Therefore, there must",Age Problems (Complex),Medium,4
23,"Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?","$2,318.54","A = P(1 + r/n)^(nt)
A = 2000(1 + 0.03/1)^(1*5)
A = 2000(1.03)^5 = 2000 * 1.159274 = $2,318.54","Solve the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: To solve this problem, we can use the formula for compound interest:

A = P(1 + r/n)^(nt)

Where:
A = the future value of the investment
P = the principal amount (initial investment)
r = the annual interest rate (as a decimal)
n = the number of times that interest is compounded per year
t = the number of years

In this case, Anna's principal amount (P) is $2,000, the annual interest rate (r) is 3% or 0.03, the number of times interest is compounded per year (n) is 1 (since it is compounded annually), and",Investment Problems,Medium,2
24,"A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?",8 meters by 12 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 40
Area = l * w = 96
Solve system of equations: l + w = 20, lw = 96","Solve the following math problem: A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?
Answer: Let the length of the field be L meters and the width be W meters. According to the given information, we have:

1. Perimeter = 2(L + W) = 40 meters
2. Area = L * W = 96 square meters

First, we need to solve for L or W from the perimeter equation:
L + W = 20
L = 20 - W

Now, we can substitute this expression for L into the area equation:
(20 - W) * W = 96

Expanding the equation, we get:
20W - W^2 = 96

Rearrange the",Quadratic Equations,Hard,6
25,"A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?",80 Product A and 20 Product B,"Let number of Product A = x, number of Product B = y
x + y = 100
15x + 25y = 2000
Solve system of equations","Solve the following math problem: A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?
Answer: Let's assume that the factory sold x units of Product A and y units of Product B. Then we can set up a system of equations:
x + y = 100 (because 100 products were sold in total)
15x + 25y = 2000 (because the total cost of all products sold was $2000)
We can simplify the first equation by solving for x: x = 100 - y
Then we can substitute this expression for x in the second equation:
15(100 - y) + 25y = 2000
Expanding the brackets and simplifying,",Systems of Equations,Hard,8
26,"The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?",30 dogs and 45 cats,"Let dogs = 2x and cats = 3x
Total animals = 2x + 3x = 75
5x = 75
x = 15
Dogs = 2 * 15 = 30, Cats = 3 * 15 = 45","Solve the following math problem: The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?
Answer: Let's call the number of dogs ""2x"" and the number of cats ""3x"". We know that the total number of animals is 75, so we can set up the equation:

2x + 3x = 75

Simplifying this equation, we get:

5x = 75

Dividing both sides by 5, we get:

x = 15

So there are 2x dogs, which is 2(15) = 30 dogs, and 3x cats, which is 3(15) = 45 cats. Therefore, there are 30 dogs and 45",Ratio and Proportion Problems,Hard,7
27,"Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?",2.67 hours,"Rate of Machine C = 1/8 job/hour, Rate of Machine D = 1/12 job/hour
Together for 3 hours: (1/8 + 1/12) * 3 = 5/24 job completed
Remaining job = 1 - 5/24 = 19/24
Time for Machine C to finish = (19/24) / (1/8) = 19/3 = 6.33 hours","Solve the following math problem: Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?
Answer: Let's first find the work rate of each machine. Machine C can finish $\frac{1}{8}$ of the task in one hour, and Machine D can finish $\frac{1}{12}$ of the task in one hour. Working together, their combined work rate is $\frac{1}{8}+\frac{1}{12}=\frac{5}{24}$ of the task in one hour.
After working together for 3 hours, they have completed $\frac{5}{24}\cdot3=\frac{5}{8}$ of the task. This means that $\frac{3}{8}$ of the task is left.
Since Machine C can finish $\frac{1}{8}$ of the",Work Problems (Complex),Hard,2
28,"A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?",$480,"Selling price = Cost price * (1 + Profit %)
600 = Cost price * 1.25
Cost price = 600 / 1.25 = $480","Solve the following math problem: A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?
Answer: Let's assume the cost price of the TV is x dollars.
The store sells the TV for $600, making a 25% profit. So, the selling price of the TV is 100% + 25% = 125% of the cost price.
125% of x is equal to $600.
To find x, we need to divide $600 by 125% (or 1.25).
x = $600 / 1.25 = $480.
Therefore, the cost price of the TV was $480.
The answer is $480",Profit and Loss,Hard,2
29,Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?,23 oranges,"Day 1: 8 + 5 = 13 oranges
Day 2: 13 + 5 = 18 oranges
Day 3: 18 + 5 = 23 oranges","Solve the following math problem: Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?
Answer: On the first day, she has 8 oranges. On the second day, she buys 5 more, so she has 8 + 5 = 13 oranges. On the third day, she buys 5 more, so she has 13 + 5 = 18 oranges. On the fourth day, she buys 5 more, so she has 18 + 5 = 23 oranges. Therefore, after 3 days, Jessica will have 18 oranges.",Simple Equations,Easy,5
30,A pencil costs $1.50. How much will 8 pencils cost?,$12,8 pencils * $1.50/pencil = $12,"Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: To find the total cost of 8 pencils, we need to multiply the cost of one pencil by 8. 

Cost of one pencil = $1.50
Number of pencils = 8

Total cost of 8 pencils = $1.50 x 8 = $12

Therefore, 8 pencils will cost $12.",Basic Arithmetic,Easy,2
31,"Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?",20 years old,Adam = 2 * Ben's age = 2 * 10 = 20 years old,"Solve the following math problem: Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?
Answer: To solve this problem, we can set up an equation. Let's say Adam's age is A and Ben's age is B.

From the problem, we know that Adam is twice as old as Ben. So we can write the equation A = 2B.

We also know that Ben is 10 years old. So we can substitute B with 10 in the equation: A = 2(10).

Simplifying the equation, we get A = 20.

Therefore, Adam is 20 years old.

The answer is Adam is 20 years old.",Age Problems (Basic),Easy,5
32,A truck travels at 60 miles per hour. How far will it travel in 5 hours?,300 miles,Distance = Speed * Time = 60 miles/hour * 5 hours = 300 miles,"Solve the following math problem: A truck travels at 60 miles per hour. How far will it travel in 5 hours?
Answer: To find the distance the truck travels, we need to multiply the speed by the time. Therefore, the distance the truck will travel in 5 hours is:

Distance = Speed x Time
Distance = 60 miles/hour x 5 hours
Distance = 300 miles

Therefore, the answer is 300 miles.",Distance-Rate-Time,Easy,5
